name,id,count
1901 - 1910,1910,2
1909,99,2
1911 - 1920,1920,7
1913,95,5
1917,101,1
1918,102,1
1921,100,2
1921 - 1930,1930,50
1923,103,1
1924,97,3
1926,89,39
1930,96,5
1931,91,18
1931 - 1940,1940,240
1932,92,13
1934,98,3
1935,90,36
1936,93,7
1937,94,7
1938,104,1
1939,85,74
1940,84,81
1941,76,166
1941 - 1950,1950,1409
1942,81,105
1943,82,98
1944,79,119
1945,86,62
1946,80,118
1947,69,271
1948,73,222
1949,75,207
1950,88,41
1951,87,62
1951 - 1960,1960,2500
1952,78,143
1953,77,156
1954,83,87
1955,70,256
1956,72,236
1957,68,317
1958,71,247
1959,66,467
1960,62,529
1961,74,213
1961 - 1970,1970,7844
1962,64,504
1963,65,491
1964,63,511
1965,60,634
1966,59,1179
1967,57,1535
1968,55,1748
1969,67,450
1970,61,579
1971,50,2705
1971 - 1980,1980,28153
1972,56,1709
1973,54,1788
1974,51,2329
1975,53,2056
1976,47,4463
1977,58,1450
1978,49,3075
1979,52,2186
1980,44,6392
1981,45,5721
1981 - 1990,1990,95653
1982,48,3455
1983,46,5303
1984,43,6699
1985,40,12327
1986,42,8830
1987,39,12466
1988,38,13034
1989,41,10247
1990,37,17571
1991,35,24260
1991 - 2000,2000,296989
1992,36,21566
1993,27,34368
1994,32,25706
1995,33,25486
1996,23,37237
1997,26,34777
1998,29,31085
1999,28,33215
2000,30,29289
2001,34,24407
2001 - 2010,2010,626242
2002,31,27125
2003,25,36315
2004,22,41662
2005,20,49647
2006,7,165126
2007,21,48186
2008,19,58068
2009,13,94534
2010,17,81172
2011,15,87394
2011 - 2020,2020,1196414
2012,10,115157
2013,11,106053
2014,12,98202
2015,3,188064
2016,18,78316
2017,16,82081
2018,14,92649
2019,6,170170
2020,4,178328
2021,5,176980
2021 - 2030,2030,916072
2022,9,148325
2023,8,162835
2024,2,188173
2025,1,202929
2026,24,36830
